instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Scr12,42,"[1, 6, 5, 10, 2, 11, 7, 3, 9, 4, 0, 8]",31884,26.52,108.02
Scr12,43,"[4, 6, 1, 2, 10, 3, 7, 11, 0, 5, 8, 9]",31410,30.78,108.02
Scr12,44,"[4, 6, 1, 2, 10, 3, 7, 11, 0, 5, 8, 9]",31410,24.97,108.02
Scr12,45,"[7, 5, 10, 9, 1, 8, 4, 0, 11, 6, 3, 2]",31410,117.48,108.02
Scr12,46,"[4, 6, 1, 2, 10, 3, 7, 11, 0, 5, 8, 9]",31410,44.45,108.02
Scr12,47,"[4, 6, 1, 2, 10, 3, 7, 11, 0, 5, 8, 9]",31410,41.7,108.02
Scr12,48,"[9, 6, 1, 2, 10, 3, 7, 11, 0, 5, 8, 4]",31410,38.96,108.02
Scr12,49,"[4, 6, 9, 10, 2, 11, 7, 3, 8, 5, 0, 1]",31410,74.32,108.02
Scr12,50,"[10, 5, 2, 1, 9, 0, 4, 8, 3, 6, 11, 7]",31410,58.36,108.02
Scr12,51,"[4, 6, 1, 2, 10, 3, 7, 11, 0, 5, 8, 9]",31410,96.6,108.02
