instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Sko64,42,"[22, 3, 42, 52, 17, 54, 51, 9, 6, 27, 30, 39, 1, 38, 28, 37, 60, 25, 4, 2, 0, 50, 8, 55, 5, 13, 53, 45, 34, 10, 15, 59, 11, 56, 40, 26, 46, 47, 58, 57, 63, 24, 32, 35, 31, 20, 18, 12, 61, 36, 29, 41, 16, 21, 48, 7, 44, 14, 23, 33, 19, 43, 62, 49]",57618,26.58,108.31,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Sko64,43,"[26, 0, 2, 49, 4, 10, 28, 40, 19, 8, 24, 32, 18, 55, 35, 43, 59, 38, 52, 36, 45, 29, 15, 31, 54, 30, 39, 62, 46, 13, 37, 25, 42, 56, 44, 7, 17, 27, 9, 3, 14, 41, 16, 23, 50, 34, 11, 58, 47, 63, 57, 61, 1, 20, 33, 60, 22, 5, 6, 12, 53, 51, 21, 48]",57942,13.35,108.31,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Sko64,44,"[11, 53, 41, 56, 25, 21, 33, 28, 19, 35, 29, 9, 45, 20, 8, 55, 60, 32, 63, 47, 3, 22, 59, 46, 58, 54, 23, 1, 39, 12, 62, 34, 52, 17, 2, 4, 14, 13, 30, 49, 48, 7, 42, 57, 50, 26, 0, 5, 43, 40, 37, 6, 27, 24, 51, 18, 38, 31, 15, 10, 44, 61, 36, 16]",57488,41.92,108.31,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Sko64,45,"[25, 19, 56, 48, 61, 44, 14, 41, 6, 47, 50, 17, 27, 26, 46, 8, 30, 18, 12, 42, 24, 2, 28, 20, 57, 58, 45, 9, 35, 23, 54, 49, 38, 59, 1, 39, 52, 34, 60, 32, 62, 10, 15, 53, 43, 5, 0, 21, 37, 3, 22, 13, 31, 33, 4, 55, 11, 36, 40, 51, 29, 7, 16, 63]",58020,15.41,108.31,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Sko64,46,"[26, 46, 8, 50, 13, 1, 4, 14, 10, 30, 45, 29, 54, 55, 37, 41, 35, 43, 42, 36, 63, 59, 40, 28, 7, 5, 6, 27, 49, 44, 11, 9, 0, 2, 32, 51, 25, 60, 61, 57, 18, 12, 17, 22, 33, 56, 19, 16, 21, 58, 47, 3, 53, 39, 62, 38, 52, 34, 23, 31, 20, 15, 24, 48]",57862,12.34,108.31,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Sko64,47,"[1, 39, 11, 56, 25, 19, 2, 9, 60, 63, 27, 15, 31, 33, 54, 58, 5, 30, 29, 6, 4, 22, 62, 52, 42, 3, 47, 32, 18, 53, 45, 46, 21, 43, 40, 13, 36, 17, 12, 23, 34, 48, 0, 26, 16, 41, 55, 61, 44, 14, 8, 20, 57, 10, 28, 37, 35, 24, 51, 59, 7, 49, 38, 50]",57798,32.02,108.31,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Sko64,48,"[40, 56, 50, 9, 35, 53, 41, 14, 10, 1, 42, 7, 28, 27, 49, 54, 31, 26, 61, 48, 39, 62, 8, 23, 12, 18, 51, 32, 57, 63, 17, 36, 30, 5, 43, 46, 45, 21, 0, 24, 2, 55, 33, 22, 44, 3, 25, 37, 34, 29, 52, 38, 59, 13, 16, 6, 4, 58, 47, 11, 20, 19, 60, 15]",57292,39.0,108.31,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Sko64,49,"[0, 5, 13, 36, 31, 11, 39, 62, 47, 8, 50, 17, 27, 9, 59, 61, 41, 38, 22, 4, 25, 15, 33, 45, 24, 32, 57, 18, 6, 12, 43, 35, 23, 16, 21, 37, 42, 52, 1, 40, 51, 54, 44, 7, 58, 3, 53, 26, 46, 55, 19, 28, 2, 29, 49, 48, 34, 10, 30, 63, 60, 14, 20, 56]",57296,19.55,108.31,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Sko64,50,"[59, 38, 30, 46, 25, 56, 45, 21, 16, 50, 6, 60, 39, 1, 11, 2, 29, 8, 37, 4, 23, 34, 7, 19, 35, 20, 31, 15, 49, 44, 61, 48, 58, 40, 26, 63, 24, 32, 5, 43, 12, 17, 27, 28, 10, 57, 22, 13, 14, 3, 53, 18, 36, 52, 62, 47, 9, 33, 41, 55, 54, 51, 42, 0]",57666,65.07,108.31,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Sko64,51,"[40, 37, 22, 62, 52, 42, 43, 8, 50, 29, 25, 46, 10, 44, 49, 2, 9, 39, 12, 6, 16, 23, 14, 13, 63, 11, 57, 27, 58, 7, 15, 53, 18, 38, 5, 0, 21, 33, 28, 19, 56, 54, 55, 35, 1, 20, 17, 47, 3, 4, 30, 61, 48, 34, 45, 36, 31, 26, 41, 60, 24, 51, 32, 59]",57684,21.6,108.31,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
