instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Ste36c,42,"[23, 28, 22, 27, 2, 0, 21, 33, 20, 14, 29, 24, 10, 25, 35, 13, 7, 32, 18, 15, 11, 4, 26, 6, 31, 34, 1, 8, 5, 16, 12, 30, 3, 17, 19, 9]",15176586,12.37,91.08,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Ste36c,43,"[22, 7, 6, 29, 9, 27, 4, 20, 14, 32, 23, 19, 11, 3, 15, 26, 28, 21, 30, 24, 17, 10, 31, 5, 35, 2, 16, 8, 25, 1, 18, 12, 33, 0, 34, 13]",15301760,6.77,91.08,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Ste36c,44,"[15, 5, 1, 31, 9, 23, 6, 30, 3, 20, 17, 21, 0, 27, 4, 2, 32, 26, 16, 24, 12, 7, 11, 19, 34, 33, 22, 28, 35, 25, 14, 8, 10, 18, 13, 29]",15024822,18.82,91.08,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Ste36c,45,"[22, 32, 17, 31, 9, 29, 1, 4, 33, 20, 6, 25, 34, 7, 19, 16, 27, 24, 15, 8, 35, 18, 12, 30, 23, 10, 28, 21, 14, 26, 3, 2, 11, 5, 13, 0]",15540328,6.95,91.08,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Ste36c,46,"[28, 23, 22, 30, 34, 25, 1, 18, 16, 35, 33, 3, 27, 10, 24, 12, 15, 26, 5, 32, 7, 19, 11, 21, 6, 29, 9, 4, 8, 17, 20, 13, 2, 0, 31, 14]",15332854,7.42,91.08,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Ste36c,47,"[18, 12, 25, 4, 9, 24, 13, 7, 29, 5, 17, 10, 34, 6, 26, 1, 3, 27, 21, 16, 11, 19, 8, 32, 2, 28, 35, 20, 0, 22, 14, 31, 15, 33, 23, 30]",14379088,13.72,91.08,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Ste36c,48,"[32, 18, 24, 9, 13, 15, 4, 22, 35, 29, 8, 25, 23, 19, 16, 31, 3, 34, 27, 2, 26, 0, 17, 28, 7, 12, 30, 21, 33, 5, 20, 6, 1, 10, 14, 11]",15410576,18.23,91.08,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Ste36c,49,"[8, 22, 6, 24, 30, 15, 34, 13, 2, 26, 32, 23, 33, 17, 31, 14, 5, 25, 28, 16, 9, 27, 0, 7, 19, 35, 29, 1, 4, 20, 3, 18, 12, 21, 10, 11]",15628944,9.35,91.08,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Ste36c,50,"[28, 22, 14, 23, 9, 33, 1, 16, 2, 25, 34, 6, 7, 18, 17, 0, 29, 3, 15, 30, 26, 5, 20, 32, 10, 8, 35, 24, 27, 13, 4, 11, 19, 12, 31, 21]",15165738,31.07,91.08,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Ste36c,51,"[21, 33, 2, 0, 28, 5, 27, 10, 23, 30, 3, 31, 9, 18, 7, 29, 34, 14, 1, 4, 17, 20, 6, 24, 19, 8, 11, 25, 16, 22, 15, 35, 26, 32, 12, 13]",15756082,10.5,91.08,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
