instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Tai12a,42,"[3, 4, 10, 2, 6, 9, 11, 8, 7, 5, 0, 1]",230704,33.89,87.79
Tai12a,43,"[3, 4, 10, 2, 6, 9, 11, 8, 7, 5, 0, 1]",230704,31.3,87.79
Tai12a,44,"[3, 4, 10, 6, 0, 7, 11, 9, 8, 2, 5, 1]",233040,25.03,87.79
Tai12a,45,"[3, 4, 10, 2, 6, 9, 11, 8, 7, 5, 0, 1]",230704,113.99,87.79
Tai12a,46,"[7, 4, 5, 1, 9, 10, 8, 0, 2, 6, 11, 3]",229092,43.17,87.79
Tai12a,47,"[7, 0, 5, 1, 10, 9, 2, 4, 8, 6, 11, 3]",224416,67.57,87.79
Tai12a,48,"[7, 4, 5, 1, 9, 10, 8, 0, 2, 6, 11, 3]",229092,38.38,87.79
Tai12a,49,"[7, 0, 5, 1, 10, 9, 2, 4, 8, 6, 11, 3]",224416,57.61,87.79
Tai12a,50,"[3, 4, 10, 2, 6, 9, 11, 8, 7, 5, 0, 1]",230704,66.56,87.79
Tai12a,51,"[7, 0, 5, 1, 10, 9, 2, 4, 8, 6, 11, 3]",224416,98.69,87.79
