instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Tai25a,42,"[8, 6, 16, 0, 24, 1, 5, 17, 13, 21, 18, 2, 23, 22, 3, 4, 19, 9, 12, 7, 10, 15, 11, 14, 20]",1377024,10.1,119.09,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Tai25a,43,"[13, 21, 18, 2, 24, 0, 16, 6, 8, 3, 4, 1, 14, 11, 7, 12, 9, 19, 23, 22, 10, 17, 5, 20, 15]",1382856,4.24,119.17,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Tai25a,44,"[13, 21, 18, 2, 24, 0, 16, 8, 6, 3, 4, 1, 14, 11, 7, 12, 9, 19, 23, 22, 10, 17, 5, 20, 15]",1376488,12.62,119.17,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Tai25a,45,"[10, 23, 22, 24, 0, 16, 6, 8, 5, 17, 12, 7, 4, 3, 14, 11, 1, 9, 19, 13, 20, 2, 18, 21, 15]",1384144,5.05,119.17,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Tai25a,46,"[24, 0, 16, 8, 2, 18, 22, 3, 4, 1, 7, 12, 13, 20, 14, 11, 21, 6, 19, 23, 10, 17, 5, 9, 15]",1374990,4.04,119.17,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Tai25a,47,"[15, 18, 21, 13, 20, 0, 24, 5, 17, 4, 3, 22, 23, 10, 14, 11, 7, 12, 9, 19, 16, 6, 8, 2, 1]",1387026,9.41,119.18,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Tai25a,48,"[11, 14, 20, 13, 21, 18, 22, 23, 19, 0, 16, 6, 8, 3, 4, 1, 24, 2, 7, 12, 9, 10, 17, 5, 15]",1375208,12.19,119.18,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Tai25a,49,"[8, 6, 0, 24, 2, 18, 22, 23, 10, 17, 5, 12, 7, 11, 14, 20, 13, 21, 15, 16, 1, 4, 3, 9, 19]",1380796,6.26,119.18,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Tai25a,50,"[20, 13, 21, 18, 22, 23, 10, 17, 5, 24, 0, 16, 6, 8, 2, 4, 3, 9, 19, 14, 11, 7, 12, 15, 1]",1368332,19.77,119.18,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Tai25a,51,"[14, 11, 12, 7, 17, 5, 24, 0, 16, 6, 8, 23, 22, 18, 2, 20, 13, 21, 3, 4, 1, 19, 9, 15, 10]",1391762,7.12,119.18,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
