instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Tai35b,42,"[34, 28, 21, 7, 30, 17, 22, 31, 15, 9, 33, 23, 25, 10, 27, 5, 2, 3, 26, 19, 29, 0, 18, 20, 11, 32, 14, 4, 1, 6, 13, 24, 8, 16, 12]",412617548,12.25,119.18,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Tai35b,43,"[23, 30, 29, 2, 7, 3, 24, 6, 22, 34, 10, 27, 5, 13, 26, 15, 20, 17, 25, 8, 21, 9, 33, 16, 28, 12, 11, 31, 4, 14, 1, 19, 18, 32, 0]",427212175,6.34,119.18,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Tai35b,44,"[12, 6, 34, 3, 25, 11, 7, 13, 5, 29, 0, 32, 28, 22, 24, 2, 4, 30, 8, 20, 10, 26, 19, 14, 1, 21, 23, 33, 18, 15, 27, 16, 17, 9, 31]",405226552,18.7,119.18,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Tai35b,45,"[2, 30, 4, 16, 17, 23, 26, 3, 21, 29, 31, 32, 13, 9, 28, 10, 8, 11, 18, 25, 34, 15, 1, 27, 7, 5, 24, 0, 12, 33, 20, 6, 22, 19, 14]",416573333,7.03,119.18,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Tai35b,46,"[34, 18, 6, 17, 3, 2, 28, 9, 30, 13, 25, 31, 5, 27, 16, 10, 7, 23, 12, 0, 26, 8, 4, 33, 32, 11, 22, 21, 20, 1, 19, 24, 14, 29, 15]",430764319,5.87,119.18,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Tai35b,47,"[20, 10, 9, 11, 8, 19, 3, 24, 2, 30, 4, 25, 15, 33, 21, 7, 31, 13, 26, 0, 17, 6, 22, 5, 27, 1, 18, 23, 34, 28, 14, 29, 12, 16, 32]",407062238,13.21,119.18,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Tai35b,48,"[31, 15, 18, 3, 25, 34, 33, 4, 27, 23, 21, 16, 10, 2, 7, 14, 28, 8, 9, 26, 11, 22, 13, 32, 30, 0, 19, 24, 1, 12, 29, 20, 17, 6, 5]",429999342,16.84,119.18,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Tai35b,49,"[17, 6, 30, 4, 33, 29, 20, 25, 22, 32, 7, 11, 21, 12, 15, 5, 2, 27, 8, 34, 10, 16, 1, 23, 9, 3, 13, 26, 31, 0, 18, 28, 14, 24, 19]",434262749,8.83,119.18,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Tai35b,50,"[18, 28, 13, 19, 3, 0, 15, 2, 27, 31, 33, 20, 12, 21, 7, 1, 16, 17, 26, 11, 6, 29, 24, 34, 4, 22, 32, 8, 9, 30, 25, 5, 10, 14, 23]",414572711,27.93,119.18,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Tai35b,51,"[15, 21, 4, 25, 2, 14, 0, 26, 31, 8, 7, 23, 29, 24, 1, 10, 28, 30, 3, 17, 22, 34, 20, 11, 6, 9, 5, 27, 19, 16, 18, 33, 13, 12, 32]",424855174,9.55,119.18,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
