instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Bur26g,42,"[14, 22, 20, 5, 6, 10, 2, 13, 21, 11, 0, 18, 4, 8, 1, 25, 3, 17, 19, 16, 7, 23, 9, 24, 12, 15]",10167993,13.67,0.29
Bur26g,43,"[10, 22, 1, 11, 12, 7, 9, 0, 14, 20, 3, 19, 6, 17, 13, 24, 18, 4, 8, 15, 21, 5, 25, 2, 16, 23]",10118362,36.85,-0.36
Bur26g,44,"[12, 22, 10, 21, 11, 23, 9, 14, 0, 20, 17, 19, 6, 3, 1, 7, 18, 8, 4, 13, 15, 5, 2, 25, 24, 16]",10119059,25.36,0.0
Bur26g,45,"[11, 21, 12, 1, 22, 23, 7, 0, 24, 14, 17, 19, 6, 3, 10, 20, 18, 4, 8, 13, 25, 5, 2, 15, 16, 9]",10124832,18.23,0.01
Bur26g,46,"[11, 10, 7, 22, 13, 24, 23, 0, 2, 20, 19, 3, 18, 6, 15, 14, 8, 4, 17, 25, 21, 1, 5, 12, 16, 9]",10144526,8.49,-0.59
Bur26g,47,"[11, 21, 10, 25, 22, 9, 24, 14, 0, 20, 17, 19, 3, 7, 13, 6, 18, 8, 4, 2, 1, 15, 5, 12, 23, 16]",10141723,10.61,0.01
Bur26g,48,"[11, 10, 1, 22, 13, 14, 24, 7, 0, 20, 17, 6, 3, 19, 21, 9, 8, 18, 4, 25, 5, 2, 15, 12, 16, 23]",10120102,15.13,0.0
Bur26g,49,"[22, 10, 21, 25, 11, 1, 7, 14, 0, 20, 19, 3, 6, 17, 13, 24, 18, 8, 4, 12, 15, 5, 2, 9, 16, 23]",10119744,14.24,0.01
Bur26g,50,"[14, 0, 1, 25, 5, 21, 22, 10, 11, 13, 8, 4, 18, 6, 20, 12, 19, 3, 17, 24, 16, 7, 9, 23, 15, 2]",10160579,14.01,0.0
Bur26g,51,"[10, 22, 21, 11, 12, 23, 24, 1, 0, 20, 3, 6, 19, 17, 13, 14, 8, 18, 4, 15, 5, 25, 9, 2, 16, 7]",10123819,14.64,0.73
