instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Chr12a,42,"[4, 6, 7, 9, 2, 0, 8, 10, 1, 5, 11, 3]",10476,6.17,0.09
Chr12a,43,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,18.31,-12.27
Chr12a,44,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,10.29,0.0
Chr12a,45,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,33.17,-1.67
Chr12a,46,"[3, 5, 9, 1, 2, 10, 7, 4, 11, 6, 8, 0]",11248,9.66,0.0
Chr12a,47,"[6, 4, 3, 1, 0, 2, 8, 5, 9, 10, 7, 11]",10192,14.53,-6.02
Chr12a,48,"[6, 4, 3, 1, 0, 2, 8, 5, 9, 10, 7, 11]",10192,13.01,0.01
Chr12a,49,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,16.75,0.0
Chr12a,50,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,38.73,-6.94
Chr12a,51,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,32.82,0.09
