instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Chr20a,42,"[0, 8, 18, 15, 10, 13, 14, 7, 6, 3, 4, 5, 2, 11, 12, 17, 9, 19, 1, 16]",3394,4.37,0.01
Chr20a,43,"[5, 13, 11, 3, 6, 1, 16, 15, 14, 9, 2, 12, 0, 10, 17, 7, 4, 8, 18, 19]",3248,4.41,0.01
Chr20a,44,"[6, 9, 0, 3, 2, 8, 14, 12, 17, 13, 19, 10, 18, 16, 5, 15, 1, 4, 11, 7]",2916,10.15,0.0
Chr20a,45,"[15, 3, 7, 1, 9, 19, 18, 10, 11, 12, 17, 2, 14, 5, 4, 0, 6, 13, 16, 8]",2808,9.53,-0.4
Chr20a,46,"[6, 11, 0, 19, 13, 8, 2, 14, 5, 17, 15, 10, 18, 3, 9, 16, 1, 12, 7, 4]",2840,6.07,0.0
Chr20a,47,"[13, 3, 15, 17, 9, 1, 18, 14, 19, 10, 7, 12, 8, 2, 4, 5, 0, 6, 16, 11]",2902,9.15,0.02
Chr20a,48,"[9, 3, 2, 13, 1, 19, 18, 8, 14, 5, 12, 7, 0, 10, 11, 17, 15, 4, 6, 16]",2900,7.07,0.0
Chr20a,49,"[11, 6, 5, 0, 9, 13, 8, 19, 12, 4, 17, 3, 2, 15, 16, 10, 1, 7, 18, 14]",3528,11.27,0.01
Chr20a,50,"[18, 17, 1, 9, 16, 12, 7, 14, 3, 2, 4, 0, 10, 5, 6, 19, 15, 13, 11, 8]",2634,10.43,0.0
Chr20a,51,"[4, 12, 7, 1, 2, 19, 10, 14, 15, 3, 6, 17, 16, 0, 5, 13, 9, 8, 11, 18]",3238,6.25,0.0
