instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Chr20c,42,"[9, 16, 5, 17, 2, 13, 6, 8, 14, 12, 18, 10, 19, 1, 11, 0, 15, 3, 7, 4]",27392,3.4,0.01
Chr20c,43,"[11, 5, 13, 8, 0, 3, 17, 2, 14, 1, 4, 9, 7, 6, 19, 12, 15, 16, 10, 18]",22318,5.42,0.0
Chr20c,44,"[6, 10, 15, 18, 11, 7, 5, 9, 19, 12, 17, 2, 13, 16, 8, 0, 4, 3, 1, 14]",22590,7.73,0.0
Chr20c,45,"[0, 17, 2, 15, 8, 9, 10, 11, 7, 3, 16, 1, 18, 6, 19, 13, 5, 12, 4, 14]",19494,5.34,0.0
Chr20c,46,"[1, 8, 13, 12, 11, 18, 5, 9, 4, 17, 6, 2, 15, 3, 16, 19, 10, 0, 7, 14]",24730,4.02,0.0
Chr20c,47,"[1, 11, 16, 8, 15, 17, 14, 3, 19, 6, 0, 12, 5, 4, 13, 2, 7, 10, 18, 9]",26198,8.13,0.0
Chr20c,48,"[6, 10, 2, 18, 17, 9, 7, 3, 14, 11, 16, 12, 15, 4, 13, 8, 0, 5, 1, 19]",17558,3.02,0.0
Chr20c,49,"[10, 6, 4, 14, 1, 3, 15, 8, 13, 17, 12, 11, 2, 9, 19, 16, 18, 0, 7, 5]",22242,5.11,0.0
Chr20c,50,"[6, 10, 2, 18, 0, 9, 17, 11, 7, 3, 16, 5, 19, 1, 8, 13, 14, 12, 4, 15]",18496,4.64,0.0
Chr20c,51,"[8, 10, 11, 19, 1, 9, 13, 12, 14, 17, 2, 3, 4, 7, 15, 18, 5, 0, 16, 6]",23270,3.18,0.0
