instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Chr22b,42,"[16, 3, 2, 15, 9, 4, 19, 5, 13, 20, 12, 0, 10, 7, 11, 18, 8, 6, 14, 17, 21, 1]",6876,5.04,0.0
Chr22b,43,"[2, 1, 9, 6, 5, 10, 15, 0, 21, 14, 17, 16, 8, 7, 20, 12, 18, 11, 19, 13, 4, 3]",7086,5.56,0.0
Chr22b,44,"[21, 9, 10, 14, 13, 7, 20, 4, 1, 12, 15, 18, 6, 3, 19, 5, 16, 8, 11, 2, 0, 17]",6940,16.27,-44.94
Chr22b,45,"[10, 6, 4, 1, 13, 0, 7, 20, 9, 21, 17, 14, 2, 8, 11, 15, 3, 16, 18, 12, 19, 5]",6900,5.34,0.0
Chr22b,46,"[19, 18, 2, 0, 12, 5, 10, 21, 16, 13, 7, 8, 20, 4, 14, 17, 11, 1, 15, 9, 3, 6]",6832,5.25,0.0
Chr22b,47,"[5, 18, 7, 4, 14, 15, 16, 1, 6, 3, 0, 21, 10, 19, 9, 8, 13, 12, 2, 17, 20, 11]",7034,5.02,0.0
Chr22b,48,"[8, 19, 21, 3, 10, 11, 12, 2, 17, 5, 16, 6, 9, 0, 20, 15, 18, 14, 1, 13, 4, 7]",6928,4.03,0.0
Chr22b,49,"[9, 21, 0, 8, 5, 10, 17, 15, 7, 11, 4, 19, 14, 3, 18, 2, 20, 1, 12, 13, 16, 6]",6796,5.55,0.0
Chr22b,50,"[11, 17, 3, 0, 12, 1, 5, 15, 21, 16, 19, 4, 8, 20, 2, 18, 10, 7, 13, 9, 6, 14]",6396,7.52,0.01
Chr22b,51,"[7, 16, 21, 5, 8, 0, 12, 17, 1, 3, 20, 11, 6, 15, 14, 18, 10, 2, 4, 9, 13, 19]",7130,2.96,0.0
