instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Els19,42,"[14, 15, 7, 11, 10, 17, 12, 16, 5, 8, 9, 4, 6, 3, 13, 18, 0, 1, 2]",17997928,4.29,0.08
Els19,43,"[8, 9, 6, 18, 13, 17, 12, 16, 5, 10, 3, 4, 11, 7, 14, 15, 0, 1, 2]",17212548,9.72,0.0
Els19,44,"[14, 15, 8, 6, 10, 11, 4, 9, 7, 17, 2, 12, 5, 3, 13, 18, 16, 0, 1]",19278506,6.46,0.02
Els19,45,"[1, 0, 16, 2, 4, 7, 13, 18, 9, 3, 10, 8, 12, 6, 5, 17, 14, 15, 11]",21112254,4.96,0.01
Els19,46,"[14, 15, 7, 11, 10, 17, 12, 16, 5, 8, 9, 4, 6, 3, 18, 13, 0, 1, 2]",17997928,6.11,0.02
Els19,47,"[10, 7, 6, 11, 18, 17, 12, 16, 5, 13, 9, 4, 8, 3, 15, 14, 0, 1, 2]",17374134,10.85,-0.0
Els19,48,"[8, 4, 9, 6, 13, 5, 7, 16, 14, 10, 3, 12, 11, 15, 17, 18, 0, 1, 2]",20508428,5.21,0.0
Els19,49,"[17, 18, 11, 10, 5, 13, 9, 7, 2, 3, 1, 12, 4, 16, 8, 6, 14, 15, 0]",22327944,3.77,-0.79
Els19,50,"[10, 11, 8, 13, 6, 18, 4, 9, 2, 7, 1, 12, 3, 16, 5, 17, 14, 15, 0]",22167030,5.92,0.0
Els19,51,"[14, 15, 7, 11, 10, 17, 12, 16, 5, 8, 9, 4, 6, 3, 13, 18, 0, 1, 2]",17997928,3.88,0.0
