instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Esc16i,42,"[1, 5, 7, 6, 14, 10, 12, 8, 9, 2, 13, 15, 4, 11, 0, 3]",14,1.64,0.0
Esc16i,43,"[9, 8, 12, 14, 6, 4, 5, 7, 15, 11, 10, 2, 13, 0, 3, 1]",14,0.87,0.0
Esc16i,44,"[5, 13, 15, 11, 9, 8, 0, 4, 12, 6, 2, 7, 1, 14, 3, 10]",14,1.89,0.0
Esc16i,45,"[10, 14, 8, 12, 13, 15, 7, 11, 3, 5, 9, 1, 4, 0, 2, 6]",14,1.08,0.0
Esc16i,46,"[3, 1, 5, 4, 12, 14, 13, 15, 7, 9, 10, 0, 8, 11, 6, 2]",14,1.34,0.0
Esc16i,47,"[14, 10, 2, 8, 0, 1, 5, 13, 9, 3, 11, 7, 12, 15, 4, 6]",14,1.12,0.0
Esc16i,48,"[7, 15, 13, 9, 8, 0, 2, 6, 14, 12, 4, 1, 11, 3, 5, 10]",14,1.23,0.0
Esc16i,49,"[4, 6, 2, 3, 7, 15, 13, 9, 8, 10, 12, 14, 1, 5, 11, 0]",14,1.95,0.0
Esc16i,50,"[11, 9, 8, 0, 2, 6, 14, 4, 12, 7, 3, 10, 5, 1, 13, 15]",14,0.9,0.0
Esc16i,51,"[0, 1, 5, 13, 15, 7, 6, 4, 12, 10, 3, 8, 14, 2, 11, 9]",14,0.85,0.0
