instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Esc16j,42,"[9, 7, 5, 6, 14, 15, 12, 8, 1, 2, 10, 4, 13, 11, 0, 3]",8,2.04,0.0
Esc16j,43,"[11, 8, 13, 0, 6, 7, 14, 10, 12, 5, 3, 2, 15, 9, 4, 1]",8,1.17,0.0
Esc16j,44,"[10, 0, 4, 7, 9, 15, 13, 8, 1, 6, 2, 3, 11, 14, 12, 5]",8,2.12,0.0
Esc16j,45,"[12, 11, 4, 2, 9, 0, 1, 13, 10, 15, 7, 3, 8, 14, 6, 5]",8,1.06,0.0
Esc16j,46,"[1, 14, 10, 5, 11, 13, 15, 3, 7, 8, 4, 12, 9, 0, 2, 6]",8,1.31,0.0
Esc16j,47,"[4, 10, 2, 15, 9, 13, 8, 0, 3, 5, 11, 7, 12, 6, 1, 14]",8,0.87,0.0
Esc16j,48,"[5, 15, 14, 9, 0, 6, 2, 1, 3, 12, 11, 8, 4, 13, 7, 10]",8,1.27,0.0
Esc16j,49,"[4, 7, 3, 2, 15, 14, 13, 5, 0, 10, 8, 9, 12, 6, 1, 11]",8,2.41,0.0
Esc16j,50,"[1, 6, 11, 2, 4, 8, 12, 5, 14, 15, 3, 10, 0, 9, 13, 7]",8,1.16,0.0
Esc16j,51,"[0, 13, 11, 5, 12, 10, 14, 4, 15, 9, 3, 2, 6, 8, 1, 7]",10,0.89,0.0
