instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Esc32c,42,"[16, 6, 1, 20, 25, 10, 26, 31, 29, 11, 12, 13, 9, 14, 24, 8, 30, 15, 28, 27, 2, 17, 21, 3, 19, 4, 18, 5, 0, 23, 22, 7]",644,7.07,0.02
Esc32c,43,"[14, 20, 23, 6, 29, 0, 10, 5, 16, 12, 25, 24, 8, 17, 28, 9, 13, 1, 4, 21, 15, 26, 3, 19, 7, 11, 2, 30, 31, 22, 18, 27]",642,11.31,0.02
Esc32c,44,"[14, 22, 27, 30, 13, 24, 29, 9, 28, 8, 4, 0, 16, 20, 1, 12, 17, 21, 5, 25, 6, 11, 31, 7, 23, 18, 3, 19, 26, 15, 2, 10]",642,8.11,0.01
Esc32c,45,"[19, 26, 16, 18, 23, 13, 10, 5, 6, 31, 14, 15, 12, 30, 22, 28, 29, 4, 20, 21, 3, 24, 7, 27, 0, 11, 9, 2, 8, 1, 25, 17]",648,6.53,0.0
Esc32c,46,"[22, 25, 17, 30, 2, 8, 14, 6, 0, 7, 15, 13, 5, 9, 12, 11, 3, 10, 1, 4, 19, 21, 27, 23, 16, 20, 24, 28, 18, 26, 31, 29]",642,12.02,0.0
Esc32c,47,"[6, 12, 20, 22, 3, 1, 17, 23, 5, 15, 9, 11, 27, 13, 31, 25, 7, 21, 29, 19, 26, 24, 0, 16, 8, 10, 14, 18, 30, 28, 2, 4]",642,8.0,0.0
Esc32c,48,"[25, 0, 21, 9, 27, 11, 22, 31, 23, 6, 2, 3, 10, 18, 19, 26, 7, 15, 14, 30, 4, 13, 28, 24, 16, 12, 5, 29, 1, 17, 8, 20]",644,4.98,0.0
Esc32c,49,"[1, 7, 12, 9, 3, 10, 29, 2, 23, 31, 26, 18, 19, 27, 30, 11, 15, 22, 14, 6, 8, 0, 21, 20, 16, 5, 24, 25, 28, 13, 17, 4]",642,12.15,0.0
Esc32c,50,"[22, 3, 19, 20, 10, 6, 21, 2, 14, 7, 4, 12, 8, 1, 13, 0, 9, 5, 15, 11, 23, 16, 27, 18, 25, 28, 26, 30, 29, 17, 24, 31]",642,13.3,0.0
Esc32c,51,"[26, 1, 11, 27, 19, 3, 14, 17, 23, 5, 4, 0, 16, 6, 22, 2, 18, 20, 7, 21, 12, 24, 10, 8, 28, 30, 29, 9, 13, 31, 25, 15]",642,10.1,0.0
