instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Esc32g,42,"[26, 5, 7, 15, 13, 29, 22, 6, 19, 12, 16, 9, 18, 14, 24, 10, 30, 1, 25, 28, 2, 17, 21, 3, 11, 4, 27, 31, 8, 23, 0, 20]",6,5.1,-1.34
Esc32g,43,"[27, 21, 5, 7, 23, 12, 10, 1, 18, 31, 24, 6, 8, 17, 30, 25, 13, 28, 16, 15, 19, 26, 3, 29, 0, 11, 14, 4, 20, 22, 9, 2]",6,13.21,-0.62
Esc32g,44,"[1, 20, 21, 29, 28, 14, 2, 15, 13, 6, 10, 4, 11, 8, 24, 25, 19, 30, 18, 31, 23, 0, 9, 7, 12, 5, 3, 27, 22, 17, 16, 26]",6,8.83,-0.85
Esc32g,45,"[28, 1, 5, 21, 17, 31, 30, 16, 22, 18, 14, 11, 12, 4, 6, 23, 25, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 7]",6,3.33,0.0
Esc32g,46,"[11, 29, 28, 30, 31, 5, 17, 21, 6, 24, 19, 13, 23, 8, 22, 9, 25, 10, 2, 0, 26, 14, 27, 3, 16, 20, 7, 15, 18, 1, 12, 4]",6,8.59,0.01
Esc32g,47,"[23, 25, 9, 11, 27, 26, 28, 4, 7, 15, 24, 30, 8, 21, 6, 20, 3, 0, 29, 1, 22, 31, 12, 16, 19, 10, 18, 14, 17, 13, 2, 5]",6,6.27,0.0
Esc32g,48,"[10, 30, 22, 23, 31, 11, 26, 0, 18, 17, 28, 14, 24, 8, 12, 27, 7, 15, 3, 19, 5, 13, 20, 6, 16, 25, 9, 29, 1, 21, 4, 2]",6,3.5,0.01
Esc32g,49,"[12, 5, 13, 15, 7, 25, 27, 28, 0, 6, 30, 18, 26, 4, 29, 9, 19, 22, 14, 2, 8, 23, 21, 1, 16, 17, 24, 10, 3, 31, 11, 20]",6,7.22,0.02
Esc32g,50,"[18, 17, 1, 0, 16, 6, 28, 24, 14, 30, 21, 12, 29, 22, 13, 9, 4, 25, 3, 26, 23, 20, 2, 10, 15, 19, 7, 5, 11, 8, 27, 31]",6,7.84,0.03
Esc32g,51,"[18, 8, 0, 2, 10, 3, 9, 20, 23, 31, 15, 26, 13, 5, 4, 22, 11, 19, 29, 21, 14, 24, 12, 25, 28, 30, 7, 6, 17, 16, 27, 1]",6,4.27,0.01
