instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Kra32,42,"[26, 5, 10, 6, 20, 9, 22, 17, 27, 23, 29, 14, 30, 28, 4, 25, 21, 24, 1, 18, 2, 13, 7, 11, 12, 8, 16, 31, 3, 0, 15, 19]",94130,23.91,0.02
Kra32,43,"[10, 27, 21, 26, 30, 18, 11, 15, 3, 8, 6, 2, 7, 24, 17, 23, 22, 20, 12, 14, 9, 5, 1, 29, 28, 25, 16, 4, 13, 31, 0, 19]",93810,31.17,0.0
Kra32,44,"[23, 21, 20, 17, 25, 29, 27, 19, 11, 7, 26, 6, 10, 8, 16, 18, 22, 4, 15, 31, 30, 5, 9, 13, 12, 24, 0, 2, 14, 28, 1, 3]",92340,19.61,0.0
Kra32,45,"[7, 26, 23, 27, 22, 18, 25, 30, 5, 24, 14, 15, 9, 4, 19, 10, 6, 1, 20, 21, 29, 11, 31, 17, 3, 2, 0, 8, 28, 13, 12, 16]",97390,14.21,-0.02
Kra32,46,"[4, 21, 13, 25, 24, 8, 26, 20, 6, 30, 10, 12, 11, 3, 29, 5, 9, 7, 18, 22, 27, 14, 23, 17, 2, 1, 15, 31, 19, 0, 28, 16]",95790,21.56,0.0
Kra32,47,"[18, 21, 24, 29, 25, 26, 5, 17, 6, 13, 27, 19, 7, 11, 30, 23, 22, 2, 0, 20, 9, 31, 8, 16, 1, 10, 3, 15, 4, 14, 28, 12]",95410,17.66,0.16
Kra32,48,"[7, 22, 31, 26, 27, 30, 2, 3, 6, 0, 11, 15, 5, 8, 29, 23, 10, 24, 18, 19, 9, 14, 13, 20, 28, 25, 16, 1, 21, 17, 12, 4]",98660,6.03,-54.78
Kra32,49,"[23, 30, 21, 24, 25, 20, 27, 31, 19, 13, 18, 16, 6, 3, 28, 22, 26, 7, 4, 11, 10, 29, 8, 5, 1, 17, 15, 14, 9, 2, 0, 12]",96010,19.01,0.0
Kra32,50,"[26, 25, 28, 24, 29, 20, 10, 30, 6, 2, 9, 8, 5, 1, 16, 21, 22, 18, 7, 14, 11, 4, 13, 31, 27, 17, 23, 0, 15, 19, 3, 12]",93550,15.11,0.0
Kra32,51,"[6, 10, 5, 4, 9, 1, 27, 26, 23, 31, 17, 2, 18, 24, 0, 22, 21, 25, 3, 7, 11, 8, 14, 13, 28, 20, 29, 19, 15, 16, 30, 12]",95440,19.12,0.01
