instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Lipa20a,42,"[10, 14, 5, 4, 19, 2, 1, 18, 0, 12, 15, 16, 13, 11, 6, 8, 9, 17, 3, 7]",3780,4.44,0.0
Lipa20a,43,"[14, 19, 8, 2, 13, 3, 7, 16, 1, 15, 10, 12, 18, 4, 5, 6, 9, 11, 17, 0]",3782,5.56,0.0
Lipa20a,44,"[17, 14, 13, 10, 12, 11, 9, 8, 7, 16, 19, 0, 6, 2, 5, 15, 3, 4, 1, 18]",3790,5.6,0.01
Lipa20a,45,"[1, 3, 13, 12, 17, 4, 14, 11, 16, 19, 6, 10, 7, 2, 5, 15, 9, 0, 18, 8]",3782,5.47,-0.03
Lipa20a,46,"[12, 7, 15, 17, 14, 16, 10, 3, 5, 4, 11, 2, 18, 8, 9, 6, 1, 13, 19, 0]",3784,2.2,0.0
Lipa20a,47,"[5, 19, 7, 9, 2, 11, 1, 13, 12, 17, 15, 18, 6, 8, 16, 4, 14, 3, 10, 0]",3786,5.36,0.01
Lipa20a,48,"[9, 11, 8, 2, 5, 19, 3, 16, 7, 10, 13, 18, 15, 6, 0, 1, 17, 4, 12, 14]",3786,1.2,0.0
Lipa20a,49,"[1, 6, 9, 7, 8, 0, 18, 3, 5, 4, 2, 16, 19, 13, 17, 15, 10, 12, 14, 11]",3778,4.71,0.0
Lipa20a,50,"[10, 4, 12, 13, 6, 9, 11, 1, 17, 2, 16, 0, 14, 19, 8, 3, 7, 5, 18, 15]",3795,2.08,0.0
Lipa20a,51,"[2, 10, 18, 4, 0, 3, 6, 16, 1, 15, 17, 12, 8, 13, 19, 9, 5, 11, 14, 7]",3788,2.35,0.0
