instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Lipa90b,42,"[6, 78, 35, 37, 69, 53, 84, 44, 66, 43, 45, 61, 65, 56, 59, 58, 89, 9, 41, 10, 49, 85, 72, 16, 86, 30, 62, 46, 51, 32, 25, 63, 39, 14, 36, 77, 88, 29, 34, 87, 19, 40, 75, 7, 18, 73, 2, 80, 1, 60, 24, 12, 81, 47, 0, 4, 79, 20, 21, 57, 64, 33, 26, 15, 5, 76, 68, 31, 67, 55, 82, 27, 83, 70, 74, 23, 48, 71, 13, 52, 11, 42, 54, 17, 28, 38, 50, 3, 8, 22]",15388647,240.56,-88.5
Lipa90b,43,"[79, 77, 41, 24, 84, 19, 12, 46, 60, 83, 7, 13, 69, 52, 30, 80, 74, 58, 23, 43, 49, 34, 16, 62, 31, 75, 85, 40, 26, 56, 71, 42, 5, 51, 21, 3, 64, 2, 20, 15, 14, 22, 39, 76, 53, 57, 68, 10, 48, 44, 47, 37, 66, 38, 17, 27, 72, 65, 36, 8, 6, 70, 61, 67, 29, 63, 1, 28, 11, 81, 86, 9, 45, 50, 25, 73, 82, 55, 4, 54, 32, 0, 33, 87, 78, 35, 59, 18, 88, 89]",15327348,425.01,-15.55
Lipa90b,44,"[78, 49, 64, 11, 26, 28, 51, 74, 3, 10, 77, 56, 15, 67, 7, 82, 8, 65, 31, 80, 87, 34, 2, 62, 25, 5, 19, 59, 39, 60, 45, 13, 46, 33, 68, 71, 29, 86, 21, 53, 0, 72, 54, 27, 23, 52, 50, 58, 57, 85, 17, 84, 66, 32, 81, 44, 89, 70, 61, 14, 16, 6, 76, 35, 79, 75, 36, 38, 69, 48, 1, 47, 42, 55, 30, 20, 12, 40, 22, 63, 83, 18, 37, 9, 88, 73, 43, 41, 24, 4]",15515618,300.37,-2.13
Lipa90b,45,"[67, 51, 87, 64, 30, 80, 63, 22, 24, 39, 73, 46, 48, 37, 28, 65, 17, 82, 58, 31, 15, 86, 6, 62, 88, 75, 57, 35, 52, 89, 47, 71, 66, 69, 42, 26, 23, 36, 19, 55, 60, 41, 61, 40, 2, 56, 33, 68, 78, 21, 70, 44, 79, 5, 50, 83, 45, 3, 49, 0, 11, 20, 85, 16, 7, 8, 77, 81, 54, 14, 25, 43, 32, 59, 4, 74, 72, 9, 18, 29, 1, 76, 13, 27, 53, 10, 84, 12, 38, 34]",15663213,247.47,-2.45
Lipa90b,46,"[20, 74, 53, 23, 72, 0, 39, 27, 10, 13, 3, 49, 1, 79, 40, 29, 34, 87, 76, 36, 64, 12, 46, 45, 77, 26, 62, 80, 8, 66, 18, 60, 69, 58, 65, 47, 5, 7, 19, 82, 43, 59, 83, 88, 71, 89, 84, 61, 16, 63, 24, 31, 67, 9, 41, 4, 38, 22, 81, 78, 21, 73, 30, 55, 15, 35, 44, 2, 70, 11, 37, 28, 17, 32, 6, 42, 48, 50, 86, 33, 57, 68, 14, 25, 52, 85, 51, 54, 56, 75]",15579016,208.27,-1.52
Lipa90b,47,"[48, 14, 12, 57, 47, 79, 60, 5, 77, 42, 6, 4, 51, 30, 41, 70, 66, 29, 18, 73, 76, 39, 17, 25, 19, 78, 56, 11, 85, 72, 68, 49, 81, 46, 67, 43, 83, 8, 84, 40, 24, 55, 74, 86, 52, 88, 69, 35, 62, 28, 20, 36, 65, 21, 13, 61, 44, 64, 23, 75, 2, 80, 71, 63, 89, 34, 32, 54, 58, 1, 10, 16, 33, 87, 38, 3, 59, 53, 9, 15, 50, 27, 26, 22, 0, 82, 31, 37, 45, 7]",15654450,250.24,-0.37
Lipa90b,48,"[17, 42, 52, 55, 40, 43, 34, 6, 54, 30, 10, 56, 19, 78, 39, 60, 2, 66, 26, 57, 14, 18, 63, 64, 59, 69, 82, 53, 15, 7, 9, 31, 24, 37, 72, 8, 49, 1, 5, 65, 11, 22, 25, 20, 67, 36, 0, 41, 83, 58, 51, 28, 47, 4, 35, 45, 33, 85, 88, 84, 76, 74, 46, 79, 87, 13, 44, 32, 3, 77, 80, 29, 62, 86, 75, 27, 61, 38, 23, 16, 21, 73, 12, 50, 81, 68, 71, 89, 48, 70]",15514507,302.26,-1.91
Lipa90b,49,"[52, 67, 3, 10, 66, 17, 75, 18, 13, 30, 28, 71, 40, 6, 70, 38, 25, 23, 2, 41, 26, 78, 79, 29, 46, 16, 36, 0, 8, 55, 88, 1, 4, 57, 12, 20, 31, 84, 81, 83, 60, 56, 65, 27, 72, 53, 9, 74, 22, 76, 61, 39, 51, 11, 85, 63, 42, 48, 37, 14, 49, 34, 15, 5, 45, 62, 44, 58, 24, 86, 77, 32, 47, 54, 89, 64, 43, 7, 59, 19, 35, 33, 80, 82, 87, 68, 21, 50, 69, 73]",15562859,242.67,-2.8
Lipa90b,50,"[41, 18, 29, 4, 79, 84, 2, 88, 57, 69, 32, 43, 87, 82, 36, 67, 5, 72, 47, 10, 45, 77, 49, 50, 15, 61, 16, 20, 66, 39, 17, 74, 40, 55, 75, 52, 51, 89, 35, 71, 28, 26, 63, 54, 86, 13, 70, 78, 65, 22, 0, 11, 59, 24, 12, 64, 25, 27, 19, 30, 21, 14, 53, 48, 56, 44, 34, 1, 83, 33, 73, 31, 80, 38, 62, 58, 46, 3, 68, 85, 8, 37, 23, 42, 60, 6, 76, 81, 9, 7]",15441700,542.18,-0.38
Lipa90b,51,"[21, 34, 52, 32, 4, 9, 36, 51, 5, 65, 1, 28, 47, 79, 59, 45, 25, 63, 80, 16, 62, 70, 37, 84, 24, 40, 42, 74, 67, 82, 18, 56, 75, 49, 69, 53, 38, 27, 61, 29, 64, 15, 76, 19, 66, 68, 11, 78, 12, 81, 13, 50, 55, 8, 41, 77, 54, 58, 33, 46, 31, 57, 39, 87, 44, 35, 71, 7, 3, 60, 0, 22, 73, 23, 30, 48, 14, 26, 43, 10, 83, 6, 86, 88, 17, 89, 20, 2, 72, 85]",15477190,609.61,-0.81
