instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Nug16b,42,"[7, 11, 15, 12, 10, 1, 3, 8, 2, 14, 9, 6, 4, 13, 5, 0]",1286,3.32,0.0
Nug16b,43,"[13, 3, 15, 14, 9, 5, 1, 11, 6, 0, 8, 2, 10, 4, 12, 7]",1294,1.09,0.0
Nug16b,44,"[2, 7, 10, 4, 11, 12, 8, 0, 1, 9, 6, 5, 14, 15, 3, 13]",1286,2.67,1.16
Nug16b,45,"[14, 2, 4, 10, 1, 11, 3, 7, 15, 6, 8, 12, 13, 9, 5, 0]",1310,1.72,0.0
Nug16b,46,"[7, 2, 10, 4, 11, 1, 9, 5, 12, 3, 8, 0, 15, 14, 6, 13]",1264,1.84,0.0
Nug16b,47,"[10, 4, 7, 2, 0, 5, 11, 14, 8, 9, 3, 1, 12, 6, 13, 15]",1324,1.53,0.01
Nug16b,48,"[15, 1, 3, 13, 6, 11, 14, 2, 8, 9, 5, 0, 12, 7, 10, 4]",1290,2.18,0.0
Nug16b,49,"[4, 2, 10, 7, 0, 6, 8, 12, 5, 9, 1, 11, 13, 14, 3, 15]",1240,4.65,0.0
Nug16b,50,"[4, 10, 7, 2, 9, 6, 11, 14, 5, 8, 1, 3, 0, 12, 15, 13]",1288,2.42,0.0
Nug16b,51,"[14, 1, 15, 3, 7, 11, 12, 8, 10, 9, 5, 6, 4, 2, 0, 13]",1298,2.48,0.0
