instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Nug25,42,"[10, 7, 24, 1, 4, 17, 5, 15, 0, 14, 16, 2, 6, 8, 21, 11, 13, 9, 18, 19, 23, 3, 20, 22, 12]",3890,6.42,0.01
Nug25,43,"[2, 17, 10, 1, 4, 9, 5, 13, 7, 19, 18, 6, 22, 8, 21, 0, 15, 20, 24, 14, 12, 23, 3, 16, 11]",3888,9.55,0.0
Nug25,44,"[11, 19, 23, 1, 4, 3, 9, 20, 24, 10, 16, 2, 13, 17, 7, 22, 6, 5, 15, 8, 12, 18, 0, 14, 21]",3850,11.74,0.0
Nug25,45,"[11, 3, 16, 9, 21, 2, 7, 22, 8, 19, 17, 13, 5, 6, 23, 1, 24, 15, 18, 20, 4, 10, 12, 0, 14]",3922,24.97,-3.69
Nug25,46,"[14, 0, 20, 23, 12, 9, 5, 6, 15, 13, 19, 18, 8, 24, 3, 21, 7, 22, 16, 11, 4, 2, 1, 17, 10]",3846,6.84,0.03
Nug25,47,"[12, 3, 22, 11, 16, 18, 9, 6, 2, 23, 0, 5, 15, 13, 20, 21, 7, 8, 10, 17, 14, 19, 24, 1, 4]",3814,7.06,-8.89
Nug25,48,"[19, 9, 12, 3, 11, 21, 0, 18, 22, 16, 14, 8, 6, 13, 2, 7, 5, 15, 24, 17, 4, 10, 20, 1, 23]",3866,17.19,0.96
Nug25,49,"[12, 22, 18, 0, 14, 16, 6, 9, 8, 21, 11, 2, 5, 7, 19, 3, 13, 15, 24, 1, 23, 20, 17, 10, 4]",3754,5.17,0.01
Nug25,50,"[12, 22, 16, 23, 11, 19, 9, 6, 20, 3, 14, 18, 15, 13, 24, 21, 8, 5, 7, 10, 4, 0, 2, 17, 1]",3766,9.02,0.02
Nug25,51,"[11, 17, 16, 23, 4, 2, 10, 15, 24, 1, 13, 5, 6, 20, 0, 22, 7, 8, 18, 12, 3, 9, 19, 21, 14]",3924,9.1,0.05
