instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Rou20,42,"[12, 19, 14, 17, 16, 13, 7, 18, 3, 4, 10, 15, 8, 1, 6, 11, 2, 0, 9, 5]",762514,1.9,0.02
Rou20,43,"[14, 13, 1, 2, 6, 9, 10, 3, 4, 16, 18, 0, 15, 8, 5, 7, 11, 12, 17, 19]",733460,6.01,0.0
Rou20,44,"[8, 15, 3, 10, 9, 16, 5, 0, 14, 17, 19, 1, 12, 18, 4, 7, 2, 11, 6, 13]",751396,5.93,0.02
Rou20,45,"[2, 3, 14, 12, 1, 0, 13, 18, 11, 6, 10, 19, 4, 5, 15, 8, 7, 9, 16, 17]",761312,4.23,0.01
Rou20,46,"[11, 15, 14, 1, 8, 12, 9, 2, 5, 6, 19, 7, 18, 13, 16, 3, 10, 4, 17, 0]",780098,1.7,0.0
Rou20,47,"[1, 4, 19, 10, 9, 11, 8, 15, 18, 17, 5, 3, 16, 13, 12, 2, 14, 0, 6, 7]",758050,4.24,0.01
Rou20,48,"[18, 8, 14, 10, 1, 0, 16, 19, 7, 5, 15, 3, 13, 12, 11, 4, 2, 6, 9, 17]",765696,1.02,0.01
Rou20,49,"[2, 16, 7, 12, 9, 1, 18, 13, 8, 6, 10, 0, 17, 4, 5, 15, 11, 3, 19, 14]",759988,2.42,0.0
Rou20,50,"[0, 8, 5, 16, 10, 17, 18, 12, 14, 9, 13, 11, 15, 19, 3, 2, 7, 1, 6, 4]",745920,3.88,0.0
Rou20,51,"[0, 14, 2, 17, 5, 12, 4, 19, 15, 13, 6, 3, 8, 18, 10, 11, 7, 1, 9, 16]",777320,0.98,0.0
