instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Sko72,42,"[11, 2, 68, 40, 57, 14, 39, 4, 44, 52, 71, 41, 50, 19, 51, 18, 23, 10, 49, 62, 36, 42, 65, 35, 3, 24, 33, 34, 64, 45, 37, 5, 43, 32, 70, 1, 66, 21, 8, 46, 48, 54, 0, 6, 28, 59, 55, 38, 15, 20, 25, 67, 56, 31, 63, 61, 60, 13, 12, 22, 47, 58, 53, 30, 17, 26, 69, 9, 27, 16, 29, 7]",67856,478.13,-110.43
Sko72,43,"[7, 46, 21, 1, 49, 2, 52, 51, 31, 34, 50, 71, 36, 62, 12, 42, 68, 58, 13, 20, 16, 32, 45, 48, 64, 40, 0, 25, 27, 28, 26, 37, 33, 5, 19, 15, 55, 9, 8, 54, 14, 6, 35, 38, 29, 61, 66, 69, 24, 43, 65, 70, 18, 56, 30, 17, 60, 41, 3, 39, 57, 67, 4, 11, 63, 59, 22, 47, 10, 23, 53, 44]",69920,241.17,3.22
Sko72,44,"[33, 11, 6, 9, 53, 56, 1, 30, 7, 28, 23, 70, 59, 26, 46, 31, 51, 69, 44, 41, 37, 34, 45, 15, 12, 13, 29, 39, 42, 43, 54, 32, 21, 0, 22, 58, 67, 68, 48, 5, 38, 66, 35, 64, 24, 2, 18, 49, 65, 40, 4, 20, 60, 3, 8, 57, 62, 19, 61, 50, 36, 25, 27, 55, 52, 47, 14, 17, 71, 63, 16, 10]",70376,181.13,0.02
Sko72,45,"[7, 33, 26, 37, 28, 68, 39, 57, 20, 53, 29, 10, 71, 47, 14, 4, 6, 1, 2, 24, 58, 18, 56, 5, 45, 70, 44, 49, 16, 65, 36, 12, 35, 43, 62, 50, 42, 3, 61, 48, 9, 54, 41, 32, 51, 55, 8, 27, 19, 67, 40, 64, 31, 46, 23, 38, 17, 60, 63, 59, 66, 0, 25, 52, 69, 15, 11, 22, 30, 21, 13, 34]",70050,301.09,0.12
Sko72,46,"[56, 55, 16, 58, 26, 18, 29, 50, 27, 38, 62, 53, 8, 67, 47, 37, 69, 48, 7, 14, 54, 49, 12, 22, 32, 9, 13, 31, 57, 19, 15, 66, 5, 21, 70, 43, 3, 68, 64, 45, 24, 36, 6, 0, 28, 2, 42, 71, 65, 59, 41, 34, 20, 30, 35, 52, 17, 61, 23, 63, 11, 1, 39, 44, 40, 4, 60, 10, 33, 25, 51, 46]",71862,2216.65,-3.77
Sko72,47,"[11, 52, 22, 62, 49, 6, 31, 40, 57, 30, 13, 15, 42, 12, 47, 68, 28, 41, 63, 21, 45, 32, 5, 58, 0, 51, 4, 59, 34, 9, 54, 37, 48, 19, 56, 70, 66, 64, 46, 61, 8, 65, 18, 43, 39, 17, 26, 69, 38, 16, 36, 20, 67, 14, 55, 27, 60, 25, 71, 29, 1, 35, 50, 2, 53, 23, 3, 33, 24, 7, 10, 44]",68862,212.97,1.62
Sko72,48,"[26, 64, 2, 33, 60, 55, 23, 53, 52, 13, 27, 25, 35, 16, 38, 50, 7, 30, 69, 46, 20, 1, 5, 8, 42, 66, 17, 59, 37, 48, 15, 65, 67, 43, 34, 28, 9, 21, 54, 3, 19, 49, 14, 71, 61, 22, 45, 0, 51, 32, 62, 41, 47, 63, 6, 12, 58, 70, 36, 18, 39, 4, 10, 29, 31, 24, 56, 68, 57, 40, 44, 11]",68916,388.24,-3.68
Sko72,49,"[33, 52, 11, 49, 58, 22, 28, 6, 13, 2, 42, 62, 48, 5, 8, 70, 21, 64, 23, 3, 38, 45, 35, 32, 15, 0, 66, 10, 24, 36, 12, 65, 54, 60, 69, 31, 55, 61, 19, 18, 16, 9, 27, 29, 30, 71, 68, 14, 1, 56, 51, 43, 20, 25, 4, 17, 57, 37, 67, 50, 40, 26, 46, 44, 53, 47, 34, 7, 41, 39, 59, 63]",68676,302.64,2.33
Sko72,50,"[44, 4, 33, 19, 58, 14, 39, 57, 10, 53, 56, 18, 54, 68, 70, 71, 43, 61, 7, 29, 23, 3, 24, 65, 41, 37, 50, 1, 16, 25, 35, 12, 6, 36, 47, 40, 67, 51, 0, 15, 45, 48, 32, 22, 60, 31, 38, 27, 5, 62, 8, 49, 28, 26, 20, 17, 9, 42, 21, 46, 66, 69, 63, 52, 55, 2, 34, 13, 64, 59, 11, 30]",69090,602.17,-4.22
Sko72,51,"[40, 39, 57, 41, 47, 4, 44, 7, 53, 63, 70, 14, 18, 9, 56, 29, 71, 55, 35, 5, 62, 49, 12, 68, 65, 24, 17, 60, 8, 32, 45, 67, 38, 16, 69, 61, 26, 66, 36, 21, 31, 15, 25, 27, 3, 64, 43, 54, 0, 6, 58, 28, 19, 10, 11, 59, 34, 37, 1, 48, 20, 42, 33, 52, 46, 50, 30, 51, 22, 13, 23, 2]",69776,182.38,2.63
