instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Ste36a,42,"[34, 1, 5, 13, 26, 22, 32, 25, 33, 16, 17, 10, 11, 19, 18, 31, 24, 30, 2, 7, 9, 12, 0, 27, 20, 28, 29, 8, 3, 4, 6, 14, 15, 21, 23, 35]",10504,23.11,-38.46
Ste36a,43,"[25, 1, 2, 6, 14, 15, 27, 28, 35, 24, 11, 12, 9, 7, 22, 17, 29, 16, 23, 10, 13, 0, 3, 19, 18, 31, 33, 34, 26, 5, 8, 4, 20, 21, 30, 32]",10732,22.1,0.01
Ste36a,44,"[25, 16, 1, 21, 20, 22, 26, 35, 34, 24, 17, 7, 3, 4, 19, 18, 31, 32, 23, 8, 9, 6, 5, 10, 27, 29, 33, 15, 2, 0, 14, 12, 11, 13, 28, 30]",10154,31.33,0.02
Ste36a,45,"[21, 26, 10, 13, 5, 18, 28, 31, 32, 20, 22, 11, 12, 19, 27, 29, 30, 33, 25, 2, 8, 6, 3, 14, 15, 16, 35, 24, 23, 0, 9, 4, 7, 17, 1, 34]",10538,63.29,-60.05
Ste36a,46,"[21, 16, 5, 22, 26, 18, 28, 32, 25, 20, 17, 4, 19, 13, 27, 31, 33, 23, 8, 3, 0, 12, 10, 11, 29, 30, 24, 1, 7, 9, 6, 2, 14, 15, 34, 35]",10634,48.31,-2.83
Ste36a,47,"[25, 21, 26, 13, 5, 10, 11, 2, 34, 24, 20, 22, 19, 3, 7, 12, 8, 1, 23, 32, 31, 18, 4, 9, 6, 17, 16, 30, 33, 29, 27, 28, 0, 14, 15, 35]",10366,30.96,-0.24
Ste36a,48,"[1, 8, 9, 0, 6, 14, 28, 30, 15, 2, 7, 3, 12, 11, 13, 27, 29, 32, 16, 17, 4, 5, 10, 19, 31, 33, 34, 35, 21, 20, 26, 22, 25, 18, 24, 23]",10164,32.89,0.04
Ste36a,49,"[33, 31, 18, 13, 11, 10, 5, 26, 24, 32, 29, 27, 14, 12, 19, 2, 22, 25, 30, 28, 15, 6, 9, 0, 4, 20, 21, 35, 16, 1, 17, 7, 3, 8, 34, 23]",10348,28.54,-0.06
Ste36a,50,"[35, 28, 18, 5, 34, 2, 14, 15, 23, 30, 29, 27, 4, 12, 3, 6, 8, 24, 32, 33, 31, 10, 11, 7, 9, 1, 25, 21, 20, 22, 19, 13, 26, 0, 17, 16]",10526,23.33,1.72
Ste36a,51,"[16, 17, 9, 6, 8, 14, 15, 25, 35, 1, 7, 0, 2, 3, 4, 5, 24, 23, 30, 29, 28, 27, 19, 12, 22, 20, 21, 33, 32, 31, 18, 10, 11, 13, 26, 34]",10872,35.33,-0.07
