instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Ste36b,42,"[2, 21, 20, 14, 26, 15, 24, 25, 23, 8, 5, 12, 11, 13, 22, 18, 28, 35, 4, 3, 6, 10, 19, 27, 31, 29, 30, 1, 7, 9, 0, 17, 16, 32, 33, 34]",19104,49.98,-16.2
Ste36b,43,"[2, 5, 4, 7, 8, 17, 16, 15, 34, 1, 11, 12, 9, 6, 14, 27, 28, 30, 23, 10, 0, 3, 19, 18, 31, 29, 33, 25, 24, 26, 22, 13, 20, 21, 32, 35]",19686,60.46,1.45
Ste36b,44,"[23, 24, 25, 21, 26, 15, 2, 17, 16, 32, 31, 20, 22, 14, 6, 9, 7, 1, 33, 29, 18, 27, 19, 12, 0, 3, 8, 34, 30, 28, 13, 11, 10, 5, 4, 35]",17452,62.27,-9.1
Ste36b,45,"[23, 24, 5, 13, 4, 2, 16, 32, 34, 25, 26, 11, 12, 19, 17, 31, 33, 30, 21, 22, 10, 0, 3, 7, 18, 27, 29, 35, 20, 8, 9, 6, 14, 1, 15, 28]",19956,30.43,2.15
Ste36b,46,"[34, 21, 20, 26, 11, 5, 4, 24, 23, 33, 32, 31, 13, 10, 12, 3, 2, 25, 30, 29, 18, 19, 0, 7, 17, 8, 16, 35, 28, 27, 22, 9, 6, 14, 1, 15]",19212,33.87,1.22
Ste36b,47,"[35, 21, 22, 13, 19, 0, 4, 17, 34, 25, 20, 26, 31, 10, 3, 9, 7, 16, 24, 32, 33, 18, 11, 12, 6, 8, 1, 23, 30, 29, 28, 27, 5, 14, 2, 15]",17976,30.94,0.1
Ste36b,48,"[30, 32, 13, 10, 11, 0, 26, 24, 23, 29, 33, 31, 5, 12, 9, 8, 1, 25, 28, 18, 27, 19, 6, 3, 7, 20, 21, 34, 15, 14, 22, 4, 2, 17, 16, 35]",18544,44.22,0.32
Ste36b,49,"[30, 33, 32, 31, 34, 0, 8, 17, 16, 21, 29, 28, 27, 14, 9, 3, 7, 15, 23, 20, 18, 13, 19, 6, 12, 4, 1, 25, 24, 22, 26, 10, 11, 5, 2, 35]",18878,20.46,0.03
Ste36b,50,"[35, 8, 3, 4, 14, 15, 18, 31, 32, 16, 17, 7, 9, 6, 19, 27, 28, 33, 1, 2, 5, 12, 0, 13, 22, 29, 30, 34, 21, 20, 11, 10, 26, 24, 25, 23]",18240,29.45,0.04
Ste36b,51,"[23, 25, 21, 20, 26, 22, 18, 15, 32, 16, 24, 17, 9, 0, 19, 14, 31, 33, 34, 1, 7, 3, 6, 10, 13, 27, 29, 35, 2, 8, 4, 12, 11, 5, 28, 30]",18646,39.01,0.02
