instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Tai20b,42,"[6, 3, 10, 5, 9, 4, 8, 18, 2, 16, 11, 15, 14, 0, 13, 1, 7, 17, 19, 12]",136540978,3.34,0.01
Tai20b,43,"[6, 5, 16, 15, 8, 12, 3, 9, 2, 18, 7, 10, 13, 0, 14, 1, 4, 19, 17, 11]",123686123,6.37,-0.41
Tai20b,44,"[1, 8, 15, 3, 10, 0, 13, 5, 2, 18, 7, 14, 6, 12, 9, 16, 4, 19, 17, 11]",124898626,5.26,-0.46
Tai20b,45,"[1, 5, 16, 15, 13, 14, 3, 8, 7, 18, 2, 10, 6, 9, 0, 12, 4, 19, 17, 11]",124136387,7.13,0.0
Tai20b,46,"[18, 0, 16, 13, 14, 12, 3, 15, 2, 6, 7, 10, 9, 1, 5, 8, 4, 19, 17, 11]",124186658,4.98,0.0
Tai20b,47,"[1, 15, 7, 5, 3, 10, 13, 18, 6, 8, 0, 2, 9, 12, 14, 16, 4, 19, 17, 11]",124292174,6.87,0.01
Tai20b,48,"[6, 5, 16, 13, 15, 8, 3, 14, 7, 18, 12, 10, 2, 0, 9, 1, 4, 19, 17, 11]",123601634,3.55,0.0
Tai20b,49,"[18, 0, 6, 5, 8, 15, 7, 3, 14, 16, 9, 12, 13, 1, 2, 10, 4, 19, 17, 11]",125683139,4.4,0.0
Tai20b,50,"[0, 16, 18, 8, 15, 13, 5, 12, 7, 3, 2, 1, 14, 6, 9, 10, 4, 19, 17, 11]",123839380,5.92,0.0
Tai20b,51,"[6, 5, 16, 15, 13, 14, 3, 8, 11, 18, 2, 10, 4, 0, 9, 1, 7, 17, 19, 12]",134684123,3.27,0.0
