instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Tai25a,42,"[0, 23, 16, 19, 5, 6, 17, 14, 1, 20, 11, 13, 22, 24, 4, 8, 2, 3, 12, 7, 18, 15, 9, 10, 21]",1218850,7.38,0.03
Tai25a,43,"[8, 18, 2, 21, 5, 16, 9, 14, 12, 17, 11, 24, 22, 6, 1, 20, 13, 0, 3, 7, 10, 4, 23, 15, 19]",1228072,5.33,-1.73
Tai25a,44,"[7, 12, 14, 23, 9, 15, 24, 22, 20, 8, 21, 1, 6, 4, 16, 19, 2, 0, 17, 13, 5, 3, 10, 11, 18]",1218890,6.99,0.0
Tai25a,45,"[22, 1, 15, 13, 7, 9, 8, 17, 11, 2, 12, 18, 24, 21, 5, 10, 3, 23, 0, 19, 6, 20, 16, 4, 14]",1218896,8.41,-3.21
Tai25a,46,"[0, 13, 7, 4, 10, 8, 14, 6, 21, 9, 1, 24, 12, 23, 20, 16, 22, 19, 5, 11, 3, 18, 17, 15, 2]",1219030,9.12,0.02
Tai25a,47,"[7, 8, 20, 16, 22, 0, 19, 18, 3, 17, 11, 1, 13, 5, 4, 12, 9, 24, 21, 6, 10, 15, 23, 2, 14]",1214572,7.8,0.0
Tai25a,48,"[14, 22, 18, 11, 17, 20, 8, 9, 23, 3, 19, 6, 7, 21, 4, 15, 10, 13, 0, 16, 5, 24, 1, 2, 12]",1226368,10.12,0.0
Tai25a,49,"[0, 6, 20, 17, 23, 11, 15, 3, 9, 13, 24, 21, 12, 16, 4, 8, 19, 18, 22, 2, 10, 1, 7, 14, 5]",1254480,4.07,0.0
Tai25a,50,"[8, 11, 4, 0, 21, 2, 23, 13, 16, 9, 5, 17, 19, 1, 12, 6, 18, 7, 10, 24, 22, 15, 3, 14, 20]",1240960,7.47,0.01
Tai25a,51,"[4, 8, 20, 6, 9, 12, 10, 0, 19, 21, 1, 13, 2, 16, 15, 7, 11, 17, 22, 18, 23, 24, 3, 5, 14]",1221690,12.04,0.01
