instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Tho40,42,"[2, 32, 27, 36, 7, 34, 24, 35, 16, 9, 15, 23, 31, 12, 4, 25, 10, 13, 14, 22, 20, 5, 26, 30, 17, 38, 19, 1, 0, 21, 28, 37, 33, 39, 8, 3, 29, 18, 11, 6]",253420,75.74,-0.35
Tho40,43,"[35, 39, 1, 17, 27, 22, 23, 18, 3, 38, 13, 0, 32, 15, 29, 6, 11, 8, 10, 5, 14, 9, 20, 16, 24, 19, 34, 21, 28, 31, 7, 33, 37, 30, 36, 4, 25, 26, 12, 2]",250380,47.53,-13.56
Tho40,44,"[8, 38, 13, 3, 32, 36, 27, 17, 39, 10, 7, 5, 34, 21, 31, 24, 16, 11, 9, 29, 15, 12, 1, 35, 33, 19, 14, 0, 26, 22, 23, 6, 30, 37, 28, 20, 25, 4, 18, 2]",253242,42.77,-3.54
Tho40,45,"[39, 1, 13, 27, 17, 14, 22, 18, 2, 33, 36, 32, 38, 15, 12, 23, 8, 11, 31, 3, 21, 29, 0, 20, 24, 28, 34, 7, 5, 26, 4, 25, 35, 16, 10, 9, 19, 30, 37, 6]",250674,48.36,0.08
Tho40,46,"[1, 13, 38, 17, 0, 19, 30, 37, 16, 9, 10, 27, 14, 21, 28, 4, 18, 22, 15, 36, 12, 26, 34, 25, 33, 23, 32, 29, 5, 31, 11, 6, 2, 39, 8, 3, 20, 7, 24, 35]",249608,65.85,-0.0
Tho40,47,"[2, 33, 17, 0, 23, 6, 22, 18, 28, 14, 38, 20, 5, 29, 11, 39, 10, 19, 21, 13, 26, 7, 1, 8, 9, 34, 15, 32, 31, 27, 24, 3, 16, 30, 4, 25, 12, 36, 35, 37]",256378,18.7,1.34
Tho40,48,"[30, 16, 10, 5, 17, 19, 0, 6, 33, 28, 9, 15, 32, 14, 38, 18, 11, 8, 29, 21, 27, 13, 39, 1, 24, 34, 7, 31, 12, 20, 23, 35, 37, 3, 26, 25, 4, 36, 22, 2]",251282,31.57,0.05
Tho40,49,"[33, 16, 9, 28, 10, 19, 13, 30, 6, 24, 11, 14, 5, 4, 0, 39, 35, 34, 32, 27, 7, 36, 1, 17, 25, 3, 15, 22, 31, 21, 38, 8, 2, 23, 29, 20, 12, 26, 18, 37]",259474,17.7,0.02
Tho40,50,"[18, 23, 29, 33, 11, 28, 16, 2, 22, 1, 27, 15, 12, 9, 30, 35, 17, 20, 32, 14, 21, 4, 26, 25, 6, 0, 38, 5, 19, 10, 37, 34, 39, 13, 36, 3, 8, 31, 7, 24]",249066,91.95,-3.32
Tho40,51,"[35, 6, 24, 5, 1, 17, 7, 2, 37, 34, 10, 21, 19, 0, 13, 38, 30, 4, 28, 36, 14, 27, 32, 3, 25, 26, 31, 12, 9, 20, 23, 8, 18, 16, 11, 22, 15, 29, 33, 39]",258236,26.24,1.58
