instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Wil50,42,"[21, 26, 47, 16, 4, 3, 23, 28, 13, 45, 34, 9, 42, 27, 43, 44, 11, 20, 24, 0, 19, 41, 10, 15, 32, 37, 38, 31, 46, 17, 29, 39, 30, 5, 36, 2, 40, 33, 14, 49, 25, 6, 7, 12, 48, 18, 22, 35, 8, 1]",50064,112.45,-15.72
Wil50,43,"[19, 16, 35, 42, 32, 18, 7, 14, 33, 6, 27, 41, 20, 10, 44, 36, 48, 38, 22, 17, 13, 28, 4, 15, 3, 2, 23, 46, 49, 26, 45, 29, 5, 31, 43, 37, 40, 11, 1, 12, 21, 34, 47, 9, 0, 30, 39, 24, 8, 25]",49104,342.29,-4.75
Wil50,44,"[45, 34, 47, 29, 40, 15, 30, 4, 39, 0, 21, 41, 9, 48, 37, 31, 43, 13, 46, 18, 24, 5, 20, 44, 36, 10, 2, 23, 14, 32, 1, 27, 28, 3, 38, 42, 22, 7, 11, 8, 25, 19, 16, 35, 17, 49, 6, 12, 33, 26]",49798,181.7,2.1
Wil50,45,"[45, 21, 34, 9, 5, 41, 16, 27, 28, 26, 0, 47, 4, 20, 43, 32, 44, 3, 11, 25, 29, 13, 31, 10, 15, 36, 7, 35, 42, 19, 30, 18, 40, 37, 2, 48, 23, 38, 33, 6, 39, 14, 8, 12, 46, 1, 22, 49, 24, 17]",49572,424.66,-5.58
Wil50,46,"[0, 21, 9, 26, 15, 46, 12, 8, 49, 25, 28, 47, 39, 11, 31, 40, 1, 14, 30, 24, 13, 34, 5, 43, 29, 38, 37, 22, 42, 17, 27, 20, 16, 3, 44, 36, 2, 35, 33, 19, 45, 4, 41, 32, 23, 48, 7, 18, 10, 6]",49430,101.62,-2.52
Wil50,47,"[17, 8, 14, 39, 18, 10, 4, 31, 41, 0, 25, 12, 46, 40, 32, 2, 43, 15, 20, 13, 33, 49, 30, 48, 37, 23, 36, 5, 9, 21, 6, 38, 35, 22, 42, 7, 47, 29, 27, 45, 26, 24, 1, 11, 44, 3, 16, 19, 28, 34]",49464,113.97,1.72
Wil50,48,"[21, 47, 11, 43, 24, 2, 37, 30, 8, 25, 0, 26, 39, 31, 4, 23, 46, 40, 18, 12, 34, 5, 9, 16, 3, 32, 36, 7, 48, 1, 13, 29, 28, 15, 42, 44, 38, 35, 14, 22, 45, 27, 41, 19, 20, 10, 49, 17, 33, 6]",49550,87.26,1.39
Wil50,49,"[17, 33, 35, 38, 22, 6, 27, 5, 49, 1, 26, 3, 16, 7, 48, 42, 20, 9, 28, 12, 8, 11, 14, 36, 46, 10, 41, 15, 19, 25, 0, 32, 23, 2, 44, 40, 43, 31, 13, 24, 45, 47, 18, 4, 37, 30, 29, 39, 34, 21]",49798,296.49,-3.98
Wil50,50,"[32, 26, 3, 16, 37, 42, 38, 11, 33, 19, 4, 23, 43, 2, 44, 7, 18, 48, 22, 6, 41, 39, 46, 36, 29, 40, 35, 27, 1, 12, 13, 34, 5, 15, 31, 9, 28, 14, 8, 49, 21, 45, 0, 30, 10, 47, 20, 24, 17, 25]",50178,61.96,-1.24
Wil50,51,"[0, 34, 29, 30, 39, 2, 37, 18, 24, 19, 13, 4, 15, 31, 43, 23, 32, 46, 11, 26, 21, 47, 9, 5, 40, 3, 44, 7, 12, 25, 28, 27, 16, 35, 36, 38, 42, 22, 1, 6, 45, 20, 41, 10, 14, 49, 33, 48, 8, 17]",49308,77.66,1.17
